Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
17,Carmelo Anthony\anthoca01,SF,32,NYK,73,73,34.5,8.2,18.8,.433,2.1,5.7,.360,6.1,13.1,.465,.488,4.1,5.0,.831,0.8,5.1,5.9,2.9,0.8,0.5,2.1,2.7,22.5
18,Joel Anthony\anthojo01,C,34,SAS,19,0,6.4,0.5,0.8,.625,0.0,0.0,"",0.5,0.8,.625,.625,0.3,0.4,.625,0.4,1.2,1.6,0.2,0.1,0.3,0.2,0.6,1.3
19,Trevor Ariza\arizatr01,SF,31,HOU,79,79,34.6,4.0,9.9,.408,2.4,6.9,.344,1.7,3.0,.555,.528,1.2,1.6,.742,0.7,5.1,5.7,2.1,1.8,0.2,0.9,1.7,11.6
20,Darrell Arthur\arthuda01,PF,28,DEN,39,7,15.3,2.3,5.1,.452,1.3,2.7,.462,1.1,2.4,.441,.575,0.3,0.3,.846,0.6,2.1,2.7,1.1,0.4,0.5,0.9,1.9,6.2
21,Omer Asik\asikom01,C,30,NOP,31,19,15.5,1.0,2.1,.477,0.0,0.0,"",1.0,2.1,.477,.477,0.7,1.3,.590,1.5,3.7,5.3,0.5,0.2,0.3,0.5,1.6,2.7
22,D.J. Augustin\augusdj01,PG,29,ORL,77,20,19.8,2.5,6.7,.378,1.2,3.5,.348,1.3,3.2,.412,.470,1.7,2.1,.814,0.2,1.3,1.5,2.7,0.4,0.0,1.2,1.3,8.0
23,Luke Babbitt\babbilu01,SF,27,MIA,68,55,15.7,1.7,4.1,.402,1.3,3.1,.414,0.4,1.0,.366,.557,0.2,0.2,.733,0.2,1.9,2.1,0.5,0.3,0.2,0.4,1.7,4.8
24,Ron Baker\bakerro01,SG,23,NYK,51,12,16.2,1.5,4.1,.374,0.4,1.6,.268,1.1,2.5,.442,.427,0.5,0.8,.659,0.2,1.7,1.9,2.0,0.7,0.2,1.1,1.4,4.1
25,Wade Baldwin\baldwwa01,PG,20,MEM,32,1,12.1,1.0,3.3,.311,0.1,0.7,.143,0.9,2.7,.353,.325,0.9,1.1,.824,0.3,1.0,1.3,1.9,0.5,0.2,1.1,1.2,3.0
26,Leandro Barbosa\barbole01,SG,34,PHO,67,0,14.4,2.6,5.9,.439,0.5,1.5,.357,2.0,4.4,.466,.483,0.6,0.7,.889,0.2,1.3,1.6,1.2,0.5,0.1,0.7,1.2,6.3
27,J.J. Barea\bareajo01,PG,32,DAL,34,5,21.9,4.0,9.7,.416,1.5,4.1,.357,2.6,5.6,.460,.492,1.3,1.5,.863,0.3,2.1,2.4,5.4,0.4,0.0,1.8,0.9,10.8
28,Harrison Barnes\barneha02,PF,24,DAL,79,79,35.5,7.6,16.2,.468,1.0,2.8,.351,6.6,13.4,.492,.498,3.1,3.6,.861,1.2,3.8,5.0,1.5,0.8,0.2,1.3,1.6,19.2
29,Matt Barnes\barnema02,SF,36,TOT,74,18,24.0,2.5,6.4,.391,1.2,3.6,.331,1.3,2.8,.467,.483,0.9,1.2,.787,0.9,4.3,5.2,2.6,0.6,0.4,1.4,2.5,7.1
30,Will Barton\bartowi01,SG,26,DEN,60,19,28.4,4.9,11.1,.442,1.5,3.9,.370,3.5,7.2,.481,.507,2.4,3.2,.753,1.0,3.4,4.3,3.4,0.8,0.5,1.6,1.8,13.7
31,Brandon Bass\bassbr01,PF,31,LAC,51,0,11.1,2.1,3.6,.576,0.0,0.1,.333,2.1,3.5,.580,.579,1.4,1.6,.878,0.8,1.7,2.5,0.4,0.3,0.2,0.6,0.9,5.6
32,Nicolas Batum\batumni01,SG,28,CHO,76,76,34.3,5.2,12.8,.405,1.8,5.3,.334,3.4,7.5,.455,.474,3.2,3.7,.856,0.6,5.7,6.3,5.9,1.1,0.4,2.5,1.4,15.3
33,Jerryd Bayless\bayleje01,PG,28,PHI,3,1,23.7,3.7,10.7,.344,0.7,1.7,.400,3.0,9.0,.333,.375,3.0,3.3,.900,1.0,3.0,4.0,4.3,0.0,0.0,3.0,1.3,11.0
34,Aron Baynes\baynear01,C,30,DET,75,2,15.5,1.9,3.7,.513,0.0,0.0,"",1.9,3.7,.513,.513,1.1,1.3,.840,1.5,3.0,4.4,0.4,0.2,0.5,0.7,2.2,4.9
35,Kent Bazemore\bazemke01,SF,27,ATL,72,64,27.0,4.1,9.9,.408,1.3,3.6,.344,2.8,6.3,.445,.471,1.7,2.3,.708,0.6,2.5,3.2,2.4,1.3,0.7,1.7,2.3,11.0
36,Bradley Beal\bealbr01,SG,23,WAS,77,77,34.9,8.3,17.2,.482,2.9,7.2,.404,5.4,10.0,.538,.566,3.7,4.4,.825,0.7,2.4,3.1,3.5,1.1,0.3,2.0,2.2,23.1
37,Malik Beasley\beaslma01,SG,20,DEN,20,0,4.7,1.0,2.2,.432,0.3,0.9,.353,0.7,1.4,.481,.500,0.3,0.4,.750,0.1,0.4,0.5,0.3,0.2,0.0,0.3,0.3,2.5
38,Michael Beasley\beaslmi01,PF,28,MIL,55,5,16.4,3.8,7.1,.539,0.3,0.7,.450,3.5,6.3,.549,.562,1.4,1.9,.740,0.7,2.7,3.4,0.9,0.5,0.5,1.2,1.6,9.3
39,Marco Belinelli\belinma01,SG,30,CHO,74,0,24.0,3.6,8.3,.429,1.4,3.8,.362,2.2,4.5,.486,.512,2.0,2.3,.893,0.2,2.2,2.4,2.0,0.6,0.1,0.9,1.2,10.5
40,DeAndre' Bembry\bembrde01,SF,22,ATL,37,0,9.2,1.2,2.5,.478,0.0,0.4,.000,1.2,2.1,.579,.478,0.2,0.4,.375,0.3,1.1,1.4,0.7,0.2,0.1,0.4,0.5,2.5
41,Dragan Bender\bendedr01,PF,19,PHO,42,0,13.1,1.3,3.6,.367,0.7,2.2,.298,0.6,1.3,.482,.460,0.1,0.2,.300,0.5,1.8,2.4,0.5,0.2,0.5,0.8,1.6,3.4
42,Anthony Bennett\bennean01,PF,23,BRK,23,1,11.5,1.7,4.0,.413,0.6,2.1,.271,1.1,1.9,.568,.484,1.1,1.6,.722,1.1,2.3,3.4,0.5,0.2,0.1,0.5,0.8,5.0
43,Ben Bentil\bentibe01,PF,21,DAL,3,0,3.3,0.0,1.0,.000,0.0,0.3,.000,0.0,0.7,.000,.000,0.0,0.0,"",0.0,0.7,0.7,0.0,0.0,0.0,0.3,0.3,0.0
44,Davis Bertans\bertada01,PF,24,SAS,66,6,12.1,1.5,3.5,.441,1.0,2.5,.399,0.5,0.9,.557,.587,0.4,0.5,.818,0.3,1.1,1.5,0.7,0.3,0.4,0.5,1.1,4.5
45,Patrick Beverley\beverpa01,SG,28,HOU,66,66,30.7,3.4,8.1,.421,1.6,4.3,.384,1.8,3.8,.462,.522,1.1,1.4,.772,1.4,4.5,5.8,4.2,1.5,0.4,1.5,3.3,9.5
46,Bismack Biyombo\biyombi01,C,24,ORL,80,27,22.3,2.2,4.2,.528,0.0,0.0,"",2.2,4.2,.528,.528,1.6,2.9,.534,1.9,5.1,7.1,0.9,0.3,1.1,1.2,2.5,6.0
47,Nemanja Bjelica\bjeline01,PF,28,MIN,65,1,18.3,2.3,5.5,.424,0.9,2.7,.316,1.5,2.8,.531,.503,0.7,0.9,.738,0.9,2.9,3.8,1.2,0.6,0.3,0.9,2.4,6.2
48,Tarik Black\blackta01,C,25,LAL,65,16,16.2,2.2,4.3,.514,0.0,0.0,.500,2.2,4.3,.514,.516,1.2,1.6,.748,2.2,2.9,5.1,0.6,0.4,0.6,0.9,2.6,5.7
49,Eric Bledsoe\bledser01,PG,27,PHO,66,66,33.0,6.8,15.7,.434,1.6,4.7,.335,5.2,11.0,.477,.485,5.9,6.9,.847,0.8,4.1,4.8,6.3,1.4,0.5,3.4,2.5,21.1
50,Bojan Bogdanovic\bogdabo02,SF,27,TOT,80,54,25.8,4.7,10.5,.446,1.8,4.9,.367,2.9,5.6,.515,.531,2.7,3.0,.893,0.5,3.0,3.5,1.4,0.4,0.1,1.6,1.8,13.8
51,Andrew Bogut\bogutan01,C,32,TOT,27,21,21.6,1.4,3.0,.469,0.0,0.0,.000,1.4,3.0,.475,.469,0.1,0.4,.273,2.1,6.0,8.1,1.8,0.5,0.9,1.6,3.2,2.9
52,Joel Bolomboy\bolomjo01,PF,23,UTA,12,0,4.4,0.8,1.3,.563,0.1,0.3,.250,0.7,1.0,.667,.594,0.3,0.5,.500,0.3,1.1,1.4,0.2,0.1,0.2,0.2,0.1,1.8
53,Devin Booker\bookede01,SG,20,PHO,78,78,35.0,7.8,18.3,.423,1.9,5.2,.363,5.9,13.2,.447,.475,4.7,5.7,.832,0.6,2.6,3.2,3.4,0.9,0.3,3.1,3.1,22.1
54,Trevor Booker\booketr01,PF,29,BRK,71,43,24.7,4.3,8.3,.516,0.4,1.1,.321,3.9,7.2,.546,.537,1.0,1.5,.673,2.0,6.0,8.0,1.9,1.1,0.4,1.8,2.1,10.0
55,Avery Bradley\bradlav01,SG,26,BOS,54,54,33.4,6.6,14.2,.463,2.0,5.1,.394,4.6,9.1,.502,.534,1.3,1.7,.731,1.2,4.9,6.1,2.2,1.2,0.2,1.6,2.6,16.4
56,Corey Brewer\breweco01,SF,30,TOT,80,11,15.5,1.8,4.2,.419,0.3,1.5,.229,1.4,2.7,.523,.460,0.6,0.8,.742,0.4,1.6,2.0,1.1,0.7,0.2,0.7,1.6,4.5
57,Malcolm Brogdon\brogdma01,SG,24,MIL,74,27,26.5,3.9,8.4,.456,1.0,2.6,.403,2.8,5.9,.479,.518,1.5,1.7,.865,0.6,2.2,2.8,4.3,1.1,0.1,1.5,1.9,10.2
58,Aaron Brooks\brookaa01,PG,32,IND,64,0,13.7,1.9,4.6,.401,0.7,2.0,.373,1.1,2.7,.421,.480,0.5,0.6,.800,0.3,0.8,1.1,2.0,0.4,0.1,1.0,1.4,5.0
59,Anthony Brown\brownan02,SF,24,TOT,11,0,14.5,1.6,4.5,.360,0.6,2.5,.259,1.0,2.1,.478,.430,0.0,0.0,"",0.7,2.3,3.0,0.7,0.5,0.1,0.5,1.4,3.9
60,Bobby Brown\brownbo02,PG,32,HOU,24,0,5.1,1.0,2.5,.383,0.6,1.5,.400,0.4,1.0,.360,.500,0.1,0.1,1.000,0.0,0.3,0.3,0.6,0.0,0.0,0.2,0.2,2.6
61,Jaylen Brown\brownja02,SF,20,BOS,77,20,17.1,2.4,5.4,.453,0.6,1.7,.346,1.8,3.6,.504,.508,1.1,1.6,.691,0.6,2.2,2.8,0.8,0.4,0.2,0.9,1.8,6.6
62,Nicolas Brussino\brussni01,SF,23,DAL,52,1,8.8,0.9,2.5,.359,0.5,1.6,.289,0.4,0.9,.489,.453,0.3,0.4,.737,0.5,1.2,1.6,0.8,0.3,0.2,0.4,0.8,2.5
63,Reggie Bullock\bullore01,SF,25,DET,30,5,14.6,1.6,4.0,.403,0.8,2.2,.343,0.8,1.7,.481,.500,0.2,0.2,.714,0.4,1.6,2.1,0.9,0.5,0.1,0.3,0.7,4.1
64,Trey Burke\burketr01,PG,24,WAS,56,0,12.0,1.9,4.3,.440,0.5,1.1,.413,1.4,3.2,.449,.494,0.4,0.5,.741,0.1,0.7,0.8,1.7,0.2,0.1,0.8,1.0,4.6
65,Alec Burks\burksal01,SG,25,UTA,41,0,15.8,2.4,6.0,.397,0.6,1.8,.320,1.8,4.2,.430,.445,1.5,1.9,.769,0.4,2.5,2.9,0.7,0.4,0.1,0.9,1.2,6.8
66,Jimmy Butler\butleji01,SF,27,CHI,75,74,37.0,7.5,16.4,.456,1.2,3.3,.367,6.3,13.2,.478,.492,7.7,8.9,.865,1.7,4.5,6.2,5.5,1.9,0.4,2.1,1.5,23.9
67,Bruno Caboclo\cabocbr01,SF,21,TOR,8,0,2.9,0.1,0.6,.200,0.1,0.4,.333,0.0,0.3,.000,.300,0.0,0.0,"",0.4,0.4,0.8,0.4,0.3,0.0,0.3,0.4,0.4
68,Jose Calderon\caldejo01,PG,35,TOT,39,12,12.6,1.2,3.1,.385,0.4,1.5,.293,0.8,1.6,.469,.455,0.3,0.3,.917,0.4,1.4,1.8,2.1,0.3,0.0,0.9,0.8,3.1
69,Kentavious Caldwell-Pope\caldwke01,SG,23,DET,75,74,33.3,4.9,12.1,.400,2.0,5.7,.351,2.9,6.4,.443,.482,2.0,2.4,.832,0.7,2.5,3.3,2.6,1.2,0.2,1.1,1.5,13.7
70,Isaiah Canaan\canaais01,SG,25,CHI,39,0,15.2,1.6,4.4,.364,0.6,2.4,.266,1.0,2.0,.481,.436,0.8,0.8,.909,0.2,1.1,1.3,0.9,0.6,0.0,0.5,0.9,4.6
71,Clint Capela\capelca01,C,22,HOU,64,58,23.8,5.5,8.6,.637,0.0,0.0,"",5.5,8.6,.637,.637,1.5,2.7,.540,2.7,5.4,8.1,1.0,0.5,1.2,1.3,2.8,12.4
72,DeMarre Carroll\carrode01,SF,30,TOR,71,71,26.3,3.1,7.7,.403,1.5,4.5,.344,1.5,3.2,.485,.503,1.3,1.6,.761,0.9,2.9,3.8,1.0,1.1,0.4,0.7,2.0,9.0
73,Vince Carter\cartevi01,SG,40,MEM,72,14,24.7,2.7,6.8,.395,1.5,4.1,.380,1.1,2.7,.418,.509,1.2,1.6,.761,0.5,2.6,3.1,1.8,0.8,0.5,0.7,2.2,8.1
74,Michael Carter-Williams\cartemi01,PG,25,CHI,44,19,19.1,2.5,7.0,.366,0.3,1.5,.234,2.2,5.5,.401,.391,1.3,1.8,.753,0.5,2.9,3.5,2.5,0.8,0.5,1.5,2.3,6.8
75,Omri Casspi\casspom01,SF,28,TOT,34,2,17.9,2.1,4.6,.459,0.4,1.2,.333,1.7,3.4,.504,.503,0.5,0.8,.630,0.7,2.4,3.1,1.0,0.6,0.1,0.8,1.4,5.1
76,Willie Cauley-Stein\caulewi01,C,23,SAC,73,19,18.7,3.3,6.2,.532,0.0,0.0,.000,3.3,6.2,.535,.532,1.4,2.0,.669,1.1,3.3,4.4,1.0,0.7,0.6,0.9,2.0,7.9
77,Tyson Chandler\chandty01,C,34,PHO,47,46,27.6,3.3,4.9,.671,0.0,0.0,"",3.3,4.9,.671,.671,1.9,2.6,.734,3.3,8.2,11.5,0.6,0.7,0.5,1.4,2.7,8.4
78,Wilson Chandler\chandwi01,SF,29,DEN,70,32,31.2,6.1,13.3,.460,1.6,4.6,.336,4.6,8.7,.526,.519,2.0,2.7,.732,1.5,5.0,6.5,2.0,0.7,0.4,1.6,2.5,15.8
79,Marquese Chriss\chrisma01,PF,19,PHO,81,74,21.0,3.4,7.6,.450,0.9,2.7,.321,2.5,4.9,.522,.507,1.3,2.1,.630,1.2,3.0,4.2,0.7,0.8,0.8,1.3,3.2,9.0
80,Rakeem Christmas\chrisra01,PF,25,IND,29,0,7.6,0.7,1.5,.442,0.0,0.0,"",0.7,1.5,.442,.442,0.7,1.0,.750,0.9,1.0,1.9,0.1,0.1,0.2,0.3,1.3,2.0
81,Semaj Christon\chrisse01,PG,24,OKC,62,0,14.9,1.2,3.5,.346,0.2,1.0,.183,1.0,2.5,.409,.371,0.3,0.5,.548,0.3,1.1,1.4,2.0,0.4,0.1,0.7,1.2,2.8
82,Ian Clark\clarkia01,SG,25,GSW,76,0,14.7,2.8,5.6,.492,0.8,2.1,.384,1.9,3.5,.556,.564,0.6,0.8,.759,0.3,1.3,1.6,1.1,0.5,0.1,0.7,1.0,6.9
83,Jordan Clarkson\clarkjo01,SG,24,LAL,80,17,29.2,5.8,13.1,.443,1.4,4.3,.328,4.4,8.8,.500,.497,1.7,2.0,.810,0.6,2.4,3.0,2.6,1.1,0.1,2.0,1.8,14.7
84,Norris Cole\coleno01,PG,28,OKC,11,0,7.9,0.9,2.9,.313,0.2,0.7,.250,0.7,2.2,.333,.344,0.4,0.4,1.000,0.0,0.6,0.6,1.0,0.4,0.0,0.6,1.2,2.4
85,Darren Collison\collida01,PG,29,SAC,68,64,30.3,5.0,10.5,.476,1.1,2.6,.417,3.9,7.9,.495,.527,2.2,2.5,.860,0.3,1.9,2.3,4.6,1.0,0.1,1.7,1.8,13.2
86,Nick Collison\collini01,PF,36,OKC,18,0,6.2,0.5,0.9,.563,0.0,0.0,"",0.5,0.9,.563,.563,0.3,0.4,.625,0.4,1.0,1.4,0.6,0.1,0.1,0.2,0.8,1.3
87,Mike Conley\conlemi01,PG,29,MEM,68,67,33.5,6.8,14.7,.459,2.5,6.1,.407,4.3,8.6,.495,.543,4.6,5.4,.860,0.5,3.1,3.5,6.3,1.3,0.3,2.3,1.9,20.6
88,Pat Connaughton\connapa01,SG,24,POR,38,1,7.4,0.8,1.6,.508,0.3,0.6,.522,0.5,0.9,.500,.610,0.2,0.2,.778,0.3,0.9,1.2,0.6,0.2,0.1,0.4,0.5,2.1
89,Quinn Cook\cookqu01,PG,23,TOT,12,0,11.8,2.3,4.3,.538,0.8,1.8,.409,1.6,2.5,.633,.625,0.0,0.3,.000,0.0,0.5,0.5,1.8,0.2,0.0,0.8,0.8,5.4
90,DeMarcus Cousins\couside01,C,26,TOT,72,72,34.2,9.0,19.9,.452,1.8,5.1,.360,7.2,14.8,.483,.497,7.2,9.3,.772,2.1,9.0,11.1,4.6,1.4,1.3,3.7,3.9,27.0
91,Robert Covington\covinro01,SF,26,PHI,67,67,31.6,4.4,10.9,.399,2.0,6.1,.333,2.3,4.8,.484,.492,2.1,2.6,.822,1.4,5.1,6.5,1.5,1.9,1.0,2.0,3.0,12.9
92,Allen Crabbe\crabbal01,SG,24,POR,79,7,28.5,3.8,8.2,.468,1.7,3.8,.444,2.1,4.4,.490,.572,1.3,1.6,.847,0.2,2.6,2.8,1.2,0.7,0.3,0.8,2.2,10.7
93,Jamal Crawford\crawfja01,SG,36,LAC,81,1,26.3,4.4,10.6,.412,1.4,4.0,.359,3.0,6.7,.443,.479,2.1,2.5,.854,0.2,1.4,1.6,2.6,0.7,0.2,1.7,1.4,12.3
94,Jordan Crawford\crawfjo02,SG,28,NOP,17,0,23.4,5.5,11.4,.487,1.9,5.1,.384,3.6,6.3,.570,.573,1.2,1.5,.769,0.2,1.5,1.8,2.7,0.5,0.1,1.2,1.7,14.2
95,Jae Crowder\crowdja01,SF,26,BOS,71,71,32.5,4.6,10.0,.462,2.2,5.5,.398,2.4,4.5,.539,.571,2.5,3.0,.814,0.7,5.1,5.8,2.2,1.0,0.3,1.1,2.3,13.8
96,Dante Cunningham\cunnida01,SF,29,NOP,64,33,25.1,2.6,5.4,.477,1.0,2.7,.385,1.5,2.7,.569,.573,0.3,0.4,.593,0.9,3.3,4.2,0.5,0.6,0.4,0.4,1.5,6.5
97,Seth Curry\curryse01,PG,26,DAL,70,42,29.0,4.8,10.0,.481,2.0,4.6,.425,2.9,5.4,.528,.578,1.2,1.4,.850,0.4,2.2,2.5,2.7,1.1,0.1,1.3,1.8,12.8
98,Stephen Curry\curryst01,PG,28,GSW,78,78,33.5,8.6,18.3,.469,4.1,9.9,.412,4.5,8.3,.538,.581,4.1,4.6,.899,0.8,3.7,4.5,6.6,1.8,0.2,3.0,2.3,25.4
99,Troy Daniels\danietr01,SG,25,MEM,66,3,17.6,2.8,7.4,.378,2.1,5.3,.389,0.7,2.0,.348,.518,0.7,0.8,.796,0.3,1.2,1.5,0.7,0.3,0.0,0.6,1.3,8.3
100,Anthony Davis\davisan02,C,23,NOP,75,75,36.1,10.3,20.3,.505,0.5,1.8,.299,9.7,18.6,.524,.518,6.9,8.6,.802,2.3,9.5,11.8,2.1,1.3,2.2,2.4,2.2,28.0
101,Deyonta Davis\davisde01,C,20,MEM,35,0,6.5,0.7,1.3,.522,0.0,0.0,"",0.7,1.3,.522,.522,0.3,0.5,.556,0.5,1.1,1.6,0.1,0.1,0.5,0.2,1.1,1.7
102,Ed Davis\davised01,PF,27,POR,46,12,17.2,1.6,3.1,.528,0.0,0.0,"",1.6,3.1,.528,.528,1.1,1.8,.617,2.1,3.2,5.3,0.6,0.3,0.5,0.8,3.0,4.3
103,Dewayne Dedmon\dedmode01,C,27,SAS,75,36,17.5,2.1,3.4,.627,0.0,0.0,"",2.1,3.4,.627,.627,0.9,1.2,.714,1.7,4.9,6.5,0.6,0.5,0.8,0.8,2.4,5.1
104,Sam Dekker\dekkesa01,SF,22,HOU,77,2,18.4,2.6,5.6,.473,0.8,2.4,.321,1.9,3.1,.591,.543,0.5,0.9,.559,1.2,2.5,3.7,1.0,0.5,0.3,0.5,1.1,6.5
105,Malcolm Delaney\delanma01,PG,27,ATL,71,2,17.1,2.0,5.3,.374,0.4,1.5,.238,1.6,3.8,.426,.407,1.0,1.2,.795,0.2,1.5,1.7,2.6,0.5,0.0,1.3,1.5,5.3
106,Matthew Dellavedova\dellama01,PG,26,MIL,76,54,26.1,2.7,7.0,.390,1.0,2.9,.364,1.7,4.2,.407,.463,1.1,1.3,.854,0.3,1.6,1.9,4.7,0.7,0.0,1.8,2.0,7.6
107,Luol Deng\denglu01,SF,31,LAL,56,49,26.5,2.9,7.6,.387,0.9,2.9,.311,2.0,4.6,.435,.447,0.8,1.1,.730,1.1,4.1,5.3,1.3,0.9,0.4,0.8,1.1,7.6
108,DeMar DeRozan\derozde01,SG,27,TOR,74,74,35.4,9.7,20.9,.467,0.4,1.7,.266,9.3,19.2,.484,.477,7.4,8.7,.842,0.9,4.3,5.2,3.9,1.0,0.2,2.4,1.8,27.3
109,Cheick Diallo\diallch01,PF,20,NOP,15,0,9.5,1.5,3.8,.404,0.0,0.0,"",1.5,3.8,.404,.404,0.7,0.9,.714,1.1,2.0,3.1,0.3,0.2,0.3,0.3,0.7,3.7
110,Boris Diaw\diawbo01,PF,34,UTA,72,32,17.6,2.0,4.5,.446,0.3,1.1,.250,1.7,3.4,.510,.477,0.4,0.5,.743,0.6,1.5,2.2,2.3,0.2,0.1,1.2,1.1,4.6
111,Gorgui Dieng\dienggo01,PF,27,MIN,80,80,32.3,4.0,8.0,.498,0.2,0.5,.381,3.8,7.5,.507,.511,1.7,2.1,.813,2.3,5.6,7.9,1.9,1.1,1.2,1.3,3.1,9.9
112,Spencer Dinwiddie\dinwisp01,PG,23,BRK,58,17,22.5,2.3,5.1,.448,0.6,1.7,.385,1.7,3.5,.478,.510,2.1,2.7,.790,0.4,2.3,2.7,3.2,0.7,0.4,1.1,2.0,7.4
113,Toney Douglas\douglto01,PG,30,MEM,24,0,16.4,1.8,4.9,.368,0.3,1.8,.167,1.5,3.1,.480,.397,1.0,1.2,.828,0.5,2.0,2.5,2.3,0.8,0.2,0.9,2.1,4.9
114,Goran Dragic\dragigo01,PG,30,MIA,72,72,33.6,7.3,15.3,.475,1.6,3.9,.405,5.7,11.4,.499,.527,4.1,5.2,.788,0.8,3.0,3.8,5.8,1.2,0.2,2.8,2.7,20.2
115,Andre Drummond\drumman01,C,23,DET,80,80,29.8,6.0,11.3,.531,0.0,0.1,.286,6.0,11.2,.533,.532,1.7,4.4,.386,4.3,9.5,13.8,1.1,1.6,1.1,1.9,2.9,13.7
116,Jared Dudley\dudleja01,PF,31,PHO,64,7,21.3,2.5,5.4,.454,1.2,3.2,.379,1.3,2.2,.559,.565,0.7,1.0,.662,0.5,3.0,3.5,1.9,0.7,0.3,1.1,2.4,6.8
117,Mike Dunleavy\dunlemi02,SF,36,TOT,51,2,15.8,1.8,4.1,.431,1.0,2.5,.405,0.8,1.6,.470,.553,0.6,0.8,.786,0.3,1.8,2.1,0.9,0.3,0.1,0.5,1.3,5.2
118,Kris Dunn\dunnkr01,PG,22,MIN,76,6,16.9,1.5,3.9,.377,0.3,0.9,.296,1.2,3.0,.403,.412,0.5,0.8,.610,0.3,1.8,2.2,2.3,1.0,0.4,1.1,2.3,3.7
