Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
28,Harrison Barnes\barneha02,PF,24,DAL,63,2257,17.2,.540,.175,.207,4.0,13.3,8.4,8.2,1.3,0.5,6.6,26.2,,2.2,1.9,4.1,.088,,-0.4,-1.2,-1.5,0.3
29,Matt Barnes\barnema02,SF,36,TOT,58,1429,10.1,.498,.557,.172,4.7,20.4,12.6,16.3,1.4,1.3,17.3,16.2,,-0.2,1.2,1.1,.037,,-1.5,0.5,-1.0,0.4
30,Will Barton\bartowi01,SG,26,DEN,50,1442,15.1,.539,.338,.291,4.3,13.3,8.8,17.5,1.4,1.2,12.0,20.7,,2.0,0.6,2.6,.085,,1.1,-1.0,0.0,0.7
31,Brandon Bass\bassbr01,PF,31,LAC,42,482,18.0,.628,.019,.400,8.2,15.8,12.1,6.6,1.1,1.5,12.1,19.1,,1.1,0.4,1.6,.156,,-0.5,-0.7,-1.2,0.1
32,Nicolas Batum\batumni01,SG,28,CHO,61,2123,15.4,.533,.422,.304,2.1,19.0,10.6,26.5,1.5,1.1,15.6,21.8,,1.3,2.6,3.9,.089,,0.5,1.0,1.5,1.9
33,Jerryd Bayless\bayleje01,PG,28,PHI,3,71,8.8,.453,.156,.313,4.6,14.0,9.3,29.6,0.0,0.0,19.8,27.7,,-0.1,0.0,-0.1,-0.068,,-5.1,-3.0,-8.1,-0.1
34,Aron Baynes\baynear01,C,30,DET,61,925,12.1,.569,.000,.382,8.7,20.5,14.4,3.3,0.9,2.4,13.3,13.7,,1.0,1.2,2.2,.116,,-3.1,1.0,-2.1,0.0
35,Kent Bazemore\bazemke01,SF,27,ATL,62,1691,10.8,.489,.356,.210,2.4,10.3,6.4,14.1,2.2,2.3,13.8,20.7,,-1.1,2.2,1.1,.033,,-2.5,1.0,-1.5,0.2
36,Bradley Beal\bealbr01,SG,23,WAS,59,2047,20.3,.606,.424,.265,2.3,7.4,4.8,16.9,1.5,0.6,9.5,26.4,,5.5,1.4,6.9,.161,,4.7,-2.4,2.3,2.2
37,Malik Beasley\beaslma01,SG,20,DEN,18,88,13.6,.516,.395,.186,2.5,6.4,4.4,10.7,2.2,0.0,7.9,24.3,,0.1,0.0,0.1,.051,,-0.6,-4.5,-5.1,-0.1
38,Michael Beasley\beaslmi01,PF,28,MIL,50,855,17.8,.594,.104,.272,4.8,19.1,12.1,10.0,1.4,2.4,13.4,24.9,,0.8,0.9,1.7,.094,,-1.5,-1.2,-2.7,-0.2
39,Marco Belinelli\belinma01,SG,30,CHO,59,1438,12.4,.553,.462,.232,0.8,10.3,5.6,12.8,1.3,0.5,9.6,18.8,,1.1,1.2,2.4,.079,,-0.5,-1.4,-1.8,0.1
40,DeAndre' Bembry\bembrde01,SF,22,ATL,29,286,9.0,.487,.154,.179,3.5,12.6,8.1,10.6,0.9,0.9,10.6,14.4,,0.0,0.3,0.2,.040,,-4.2,-0.6,-4.8,-0.2
41,Dragan Bender\bendedr01,PF,19,PHO,38,481,5.8,.474,.653,.065,3.6,15.6,9.4,4.9,0.9,3.2,17.5,13.6,,-0.4,0.3,-0.1,-0.012,,-3.7,-0.1,-3.8,-0.2
42,Anthony Bennett\bennean01,PF,23,BRK,23,264,14.7,.533,.522,.391,10.2,21.1,15.7,7.1,0.9,0.9,10.0,19.4,,0.3,0.2,0.5,.083,,-0.7,-2.4,-3.1,-0.1
43,Ben Bentil\bentibe01,PF,21,DAL,3,10,-17.7,.000,.333,.000,0.0,24.5,11.7,0.0,0.0,0.0,25.0,18.9,,-0.1,0.0,-0.1,-0.470,,-22.3,-4.4,-26.7,-0.1
44,Davis Bertans\bertada01,PF,24,SAS,52,592,13.1,.610,.727,.188,3.1,10.6,7.0,9.0,1.4,2.9,11.4,15.4,,0.9,0.9,1.8,.143,,1.3,0.7,2.0,0.6
45,Patrick Beverley\beverpa01,SG,28,HOU,51,1561,13.8,.554,.534,.131,4.8,16.3,10.5,19.9,2.6,1.1,14.7,13.9,,2.5,2.0,4.4,.136,,1.2,1.8,3.1,2.0
46,Bismack Biyombo\biyombi01,C,24,ORL,64,1508,11.9,.533,.000,.687,9.2,25.0,17.0,5.8,0.7,4.2,18.0,13.3,,0.4,1.9,2.3,.072,,-4.4,2.4,-2.0,0.0
47,Nemanja Bjelica\bjeline01,PF,28,MIN,61,1084,10.5,.521,.517,.168,4.8,18.1,11.4,9.5,1.8,1.5,14.0,16.7,,0.3,1.1,1.4,.060,,-1.1,0.0,-1.1,0.2
48,Tarik Black\blackta01,C,25,LAL,52,841,14.6,.548,.009,.409,14.8,20.5,17.6,6.2,1.0,3.0,15.2,16.4,,1.1,0.6,1.7,.097,,-1.9,-0.2,-2.1,0.0
49,Eric Bledsoe\bledser01,PG,27,PHO,63,2083,21.3,.569,.301,.451,2.6,14.0,8.2,31.7,2.0,1.1,15.1,28.2,,4.6,1.4,5.9,.136,,4.2,-0.4,3.8,3.0
50,Bojan Bogdanovic\bogdabo02,SF,27,TOT,63,1680,14.3,.592,.465,.289,1.8,12.1,7.0,9.3,0.8,0.2,11.4,22.2,,2.0,0.5,2.5,.071,,0.4,-2.9,-2.5,-0.2
